FeatureSpace,FeatureName,FeatureFamily,MeanAbsSHAP,PercentageContribution
Original Only (A),RELATIVE_DEPTH,Raw Physical Log,0.0028811525616064433,1.278120280574637
Original Only (A),CALI,Raw Physical Log,0.03979527244442777,17.653749218283806
Original Only (A),RSHA,Raw Physical Log,0.011851954548657723,5.257695713496706
Original Only (A),RMED,Raw Physical Log,0.011117985081137413,4.932096411932052
Original Only (A),RDEP,Raw Physical Log,0.010639961751823614,4.720038459873061
Original Only (A),RHOB,Raw Physical Log,0.02526235869973621,11.206741850310408
Original Only (A),GR,Raw Physical Log,0.03578505289622135,15.874758753696389
Original Only (A),NPHI,Raw Physical Log,0.019839547657595453,8.801105695167113
Original Only (A),PEF,Raw Physical Log,0.01609637733510051,7.140582067720477
Original Only (A),DTC,Raw Physical Log,0.022400121720003736,9.937012791059542
Original Only (A),SP,Raw Physical Log,0.017444659684483613,7.738699306512762
Original Only (A),BS,Raw Physical Log,0.012306637296360843,5.459399451372612
Original (No Depth),CALI,Raw Physical Log,0.041993540007268876,18.67834238612628
Original (No Depth),RSHA,Raw Physical Log,0.010940911100339472,4.866417156375406
Original (No Depth),RMED,Raw Physical Log,0.011209562163574535,4.985910691348471
Original (No Depth),RDEP,Raw Physical Log,0.010342863622068753,4.600411109722366
Original (No Depth),RHOB,Raw Physical Log,0.02656780462942666,11.81711642386531
Original (No Depth),GR,Raw Physical Log,0.03252063536659866,14.464881071863758
Original (No Depth),NPHI,Raw Physical Log,0.02058567967324602,9.156321975271748
Original (No Depth),PEF,Raw Physical Log,0.017586700629213307,7.822403534874376
Original (No Depth),DTC,Raw Physical Log,0.02569075978834449,11.427014902848438
Original (No Depth),SP,Raw Physical Log,0.018802409795501258,8.363139849220534
Original (No Depth),BS,Raw Physical Log,0.008583901606757148,3.8180408984828773
Engineered Only (B),RHOB_minus_NPHI,Petrophysical Engineered,0.019231828644448334,9.706575344925984
Engineered Only (B),RDEP_RMED_ratio,Petrophysical Engineered,0.0003924392981418528,0.19806965245727595
Engineered Only (B),RMED_RSHA_ratio,Petrophysical Engineered,0.00018541091532875168,0.09357950576009019
Engineered Only (B),acoustic_impedance,Petrophysical Engineered,0.020924680266347664,10.560981450529956
Engineered Only (B),log_RDEP,Petrophysical Engineered,0.009858566129978586,4.975757464498638
Engineered Only (B),log_RMED,Petrophysical Engineered,0.011462707056604035,5.785390030181055
Engineered Only (B),log_RSHA,Petrophysical Engineered,0.009791095014469545,4.941703840248832
Engineered Only (B),GR_roll_mean,Contextual Rolling Stats,0.028712162744635367,14.491433765817774
Engineered Only (B),RHOB_roll_mean,Contextual Rolling Stats,0.021915403575383314,11.06101348715612
Engineered Only (B),NPHI_roll_mean,Contextual Rolling Stats,0.02069281658267393,10.443956576975829
Engineered Only (B),DTC_roll_mean,Contextual Rolling Stats,0.021874915769336017,11.040578720020116
Engineered Only (B),GR_roll_std,Contextual Rolling Stats,0.0028841006229563533,1.455646289109126
Engineered Only (B),RHOB_roll_std,Contextual Rolling Stats,0.001373607281698421,0.6932789814552319
Engineered Only (B),NPHI_roll_std,Contextual Rolling Stats,0.0022462912087897473,1.1337348760673711
Engineered Only (B),DTC_roll_std,Contextual Rolling Stats,0.0011952181000646942,0.6032434437921349
Engineered Only (B),GR_roll_var,Contextual Rolling Stats,0.0023729676721267264,1.1976702749595658
Engineered Only (B),RHOB_roll_var,Contextual Rolling Stats,0.0014492783763767007,0.731471250922014
Engineered Only (B),GR_gradient,Contextual Rolling Stats,0.0005727650703245757,0.2890826147024877
Engineered Only (B),RHOB_gradient,Contextual Rolling Stats,0.00031949972296821096,0.16125601943573672
Engineered Only (B),DTC_gradient,Contextual Rolling Stats,0.0002654918288351272,0.13399747302731216
Engineered Only (B),GR_CWT_low,Wavelet Coefficients,0.0004483420433417345,0.2262845569420604
Engineered Only (B),GR_CWT_mid,Wavelet Coefficients,0.0006268831414037661,0.31639676897059266
Engineered Only (B),GR_CWT_high,Wavelet Coefficients,0.0010629113705353493,0.536466370089991
Engineered Only (B),NPHI_CWT_low,Wavelet Coefficients,0.00033273454254017246,0.16793581966309729
Engineered Only (B),NPHI_CWT_mid,Wavelet Coefficients,0.00045259509739248744,0.2284311333468784
Engineered Only (B),NPHI_CWT_high,Wavelet Coefficients,0.0005306156358186977,0.26780920023207383
Engineered Only (B),SP_CWT_low,Wavelet Coefficients,0.0006602892294016205,0.333257293059341
Engineered Only (B),SP_CWT_mid,Wavelet Coefficients,0.0016103569047538578,0.8127698575729222
Engineered Only (B),SP_CWT_high,Wavelet Coefficients,0.003336288046754608,1.6838716638393012
Engineered Only (B),RDEP_CWT_low,Wavelet Coefficients,0.0020206511629059414,1.0198511603430236
Engineered Only (B),RDEP_CWT_mid,Wavelet Coefficients,0.0024471920009421807,1.2351323412764756
Engineered Only (B),RDEP_CWT_high,Wavelet Coefficients,0.002420453468233525,1.2216370264446093
Engineered Only (B),RHOB_CWT_low,Wavelet Coefficients,0.00042627570978408805,0.21514736696270845
Engineered Only (B),RHOB_CWT_mid,Wavelet Coefficients,0.0003992057496154492,0.2014847760141931
Engineered Only (B),RHOB_CWT_high,Wavelet Coefficients,0.0004771137336899813,0.24080603512956264
Engineered Only (B),DTC_CWT_low,Wavelet Coefficients,0.00033019875990959106,0.1666559743807196
Engineered Only (B),DTC_CWT_mid,Wavelet Coefficients,0.0002552366016162355,0.12882151511296983
Engineered Only (B),DTC_CWT_high,Wavelet Coefficients,0.00044469095617358586,0.2244418017187417
Engineered Only (B),PEF_CWT_low,Wavelet Coefficients,0.00039391879424786566,0.19881637502282273
Engineered Only (B),PEF_CWT_mid,Wavelet Coefficients,0.0006042283697105952,0.3049625859593303
Engineered Only (B),PEF_CWT_high,Wavelet Coefficients,0.0011305396473630584,0.5705993158754228
Combined Space (C),RELATIVE_DEPTH,Raw Physical Log,0.0032104161979552032,1.4284589956467875
Combined Space (C),CALI,Raw Physical Log,0.027096156671446023,12.056302472381766
Combined Space (C),RSHA,Raw Physical Log,0.00996807071975706,4.4352443455616415
Combined Space (C),RHOB,Raw Physical Log,0.017982944399508816,8.001423214864063
Combined Space (C),GR,Raw Physical Log,0.02524736069551643,11.233689739299281
Combined Space (C),NPHI,Raw Physical Log,0.015191172626680648,6.759238009958484
Combined Space (C),PEF,Raw Physical Log,0.012272126532372312,5.460422717792261
Combined Space (C),DTC,Raw Physical Log,0.019957460879977403,8.879974671953846
Combined Space (C),SP,Raw Physical Log,0.014147252729967074,6.294750954309763
Combined Space (C),BS,Raw Physical Log,0.00584451538507992,2.6004885542039475
Combined Space (C),RDEP_RMED_ratio,Petrophysical Engineered,0.00022907336353343328,0.101925073456462
Combined Space (C),RMED_RSHA_ratio,Petrophysical Engineered,0.00014053548205269202,0.06253057584047447
Combined Space (C),acoustic_impedance,Petrophysical Engineered,0.022286732418552405,9.916372658202707
Combined Space (C),log_RDEP,Petrophysical Engineered,0.011941379820591737,5.313258584984657
Combined Space (C),GR_roll_std,Contextual Rolling Stats,0.002831490214624928,1.259857731450204
Combined Space (C),RHOB_roll_std,Contextual Rolling Stats,0.0014570800713957419,0.6483206559599951
Combined Space (C),NPHI_roll_std,Contextual Rolling Stats,0.0019601647507719536,0.8721657251085831
Combined Space (C),DTC_roll_std,Contextual Rolling Stats,0.0011021839610972784,0.49041136631749116
Combined Space (C),GR_roll_var,Contextual Rolling Stats,0.002160578114664916,0.961338671807231
Combined Space (C),RHOB_roll_var,Contextual Rolling Stats,0.0015633014757601845,0.6955833506508784
Combined Space (C),GR_gradient,Contextual Rolling Stats,0.0004776322433197294,0.21252013212977905
Combined Space (C),RHOB_gradient,Contextual Rolling Stats,0.00022294344385667195,0.09919759565765227
Combined Space (C),DTC_gradient,Contextual Rolling Stats,0.00029738904391351893,0.13232180153328246
Combined Space (C),GR_CWT_low,Wavelet Coefficients,0.0002989553003659396,0.1330186996863553
Combined Space (C),GR_CWT_mid,Wavelet Coefficients,0.000679492170567768,0.3023367201228634
Combined Space (C),GR_CWT_high,Wavelet Coefficients,0.000761975516842169,0.33903728189169646
Combined Space (C),NPHI_CWT_low,Wavelet Coefficients,0.0002874532185776936,0.12790090461369466
Combined Space (C),NPHI_CWT_mid,Wavelet Coefficients,0.0003028317501847793,0.1347435070862251
Combined Space (C),NPHI_CWT_high,Wavelet Coefficients,0.0008711100695223435,0.38759616768699506
Combined Space (C),SP_CWT_low,Wavelet Coefficients,0.0008255816868470916,0.3673385363458824
Combined Space (C),SP_CWT_mid,Wavelet Coefficients,0.0025684488378155544,1.1428187565129397
Combined Space (C),SP_CWT_high,Wavelet Coefficients,0.006885605853871701,3.0637166697283327
Combined Space (C),RDEP_CWT_low,Wavelet Coefficients,0.0019128328397494505,0.8511056226445127
Combined Space (C),RDEP_CWT_mid,Wavelet Coefficients,0.002647889253834079,1.1781653813374287
Combined Space (C),RDEP_CWT_high,Wavelet Coefficients,0.0037594896669433616,1.6727665519526276
Combined Space (C),RHOB_CWT_low,Wavelet Coefficients,0.0005137465625444253,0.22858902195192551
Combined Space (C),RHOB_CWT_mid,Wavelet Coefficients,0.0003018917838743134,0.13432527367068064
Combined Space (C),RHOB_CWT_high,Wavelet Coefficients,0.0006458657170856325,0.28737479400286414
Combined Space (C),DTC_CWT_low,Wavelet Coefficients,0.00043715487062722145,0.19450992299253766
Combined Space (C),DTC_CWT_mid,Wavelet Coefficients,0.00021595301355249318,0.09608723786111295
Combined Space (C),DTC_CWT_high,Wavelet Coefficients,0.00048326794047258924,0.2150277080322029
Combined Space (C),PEF_CWT_low,Wavelet Coefficients,0.00037708526692157494,0.167782246427449
Combined Space (C),PEF_CWT_mid,Wavelet Coefficients,0.000529841002506707,0.23575016434793683
Combined Space (C),PEF_CWT_high,Wavelet Coefficients,0.0018523885515202773,0.824211232032036
Combined (No Depth),CALI,Raw Physical Log,0.025252348034257226,11.552447594486194
Combined (No Depth),RSHA,Raw Physical Log,0.011159828788850223,5.1053999838642214
Combined (No Depth),RHOB,Raw Physical Log,0.020758943811433218,9.496804422825615
Combined (No Depth),GR,Raw Physical Log,0.026819620152627722,12.269443455196344
Combined (No Depth),NPHI,Raw Physical Log,0.014946022391994175,6.837508345572293
Combined (No Depth),PEF,Raw Physical Log,0.01014288486987967,4.640168342256035
Combined (No Depth),DTC,Raw Physical Log,0.017731838518107036,8.111963883771518
Combined (No Depth),SP,Raw Physical Log,0.014087779879393853,6.444879444817205
Combined (No Depth),BS,Raw Physical Log,0.00867765313195294,3.9698539285938543
Combined (No Depth),RDEP_RMED_ratio,Petrophysical Engineered,0.0004061819107399242,0.18582015546774344
Combined (No Depth),RMED_RSHA_ratio,Petrophysical Engineered,0.00015626208273668987,0.07148679874726643
Combined (No Depth),acoustic_impedance,Petrophysical Engineered,0.019855155632392874,9.083339284426781
Combined (No Depth),log_RDEP,Petrophysical Engineered,0.013073904976191765,5.981051816957908
Combined (No Depth),GR_roll_std,Contextual Rolling Stats,0.0022829801412193834,1.0444180638137393
Combined (No Depth),RHOB_roll_std,Contextual Rolling Stats,0.0010517296820295693,0.4811454371977417
Combined (No Depth),NPHI_roll_std,Contextual Rolling Stats,0.0018037790260843397,0.8251930728423295
Combined (No Depth),DTC_roll_std,Contextual Rolling Stats,0.0013543099092225505,0.619569880462685
Combined (No Depth),GR_roll_var,Contextual Rolling Stats,0.0019827723935283716,0.907078982792272
Combined (No Depth),RHOB_roll_var,Contextual Rolling Stats,0.0010190484335977931,0.46619441524452393
Combined (No Depth),GR_gradient,Contextual Rolling Stats,0.0004046181884247921,0.18510478357149895
Combined (No Depth),RHOB_gradient,Contextual Rolling Stats,0.00017159661836467426,0.078502044180592
Combined (No Depth),DTC_gradient,Contextual Rolling Stats,0.00017932913411997887,0.0820395165342722
Combined (No Depth),GR_CWT_low,Wavelet Coefficients,0.0004408123303005069,0.20166288449262357
Combined (No Depth),GR_CWT_mid,Wavelet Coefficients,0.0005544955069168778,0.25367067950850486
Combined (No Depth),GR_CWT_high,Wavelet Coefficients,0.0013740392156746254,0.6285956462470769
Combined (No Depth),NPHI_CWT_low,Wavelet Coefficients,0.0003214328894584654,0.14704916174827384
Combined (No Depth),NPHI_CWT_mid,Wavelet Coefficients,0.0004051668492515833,0.18535578500075436
Combined (No Depth),NPHI_CWT_high,Wavelet Coefficients,0.0005342693790332431,0.2444176277884002
Combined (No Depth),SP_CWT_low,Wavelet Coefficients,0.0018564225345219971,0.8492764322032452
Combined (No Depth),SP_CWT_mid,Wavelet Coefficients,0.0014625599885226903,0.6690921413834258
Combined (No Depth),SP_CWT_high,Wavelet Coefficients,0.006113245238761021,2.796688258740223
Combined (No Depth),RDEP_CWT_low,Wavelet Coefficients,0.002140546180085538,0.9792573560078115
Combined (No Depth),RDEP_CWT_mid,Wavelet Coefficients,0.0028016036121731613,1.2816779994575926
Combined (No Depth),RDEP_CWT_high,Wavelet Coefficients,0.00284791664529254,1.3028652921136066
Combined (No Depth),RHOB_CWT_low,Wavelet Coefficients,0.00026755567461559065,0.12240140621422128
Combined (No Depth),RHOB_CWT_mid,Wavelet Coefficients,0.00039730434338416725,0.18175884475300222
Combined (No Depth),RHOB_CWT_high,Wavelet Coefficients,0.0006448270611993601,0.2949955711804074
Combined (No Depth),DTC_CWT_low,Wavelet Coefficients,0.00035156254422124726,0.16083288028465734
Combined (No Depth),DTC_CWT_mid,Wavelet Coefficients,0.0003382191128237682,0.15472852548403124
Combined (No Depth),DTC_CWT_high,Wavelet Coefficients,0.0006076154938027641,0.27797201829436746
Combined (No Depth),PEF_CWT_low,Wavelet Coefficients,0.00032791579179402745,0.15001496078566048
Combined (No Depth),PEF_CWT_mid,Wavelet Coefficients,0.0005970063027093753,0.27311852411790527
Combined (No Depth),PEF_CWT_high,Wavelet Coefficients,0.0008856217337959259,0.40515435057112203
