WELL,DEPTH_MD,True_Lithology,Ensemble_Prediction,Entropy_Score,Top_3_Candidates
15/9-23_block_8,2876.1,Limestone,Limestone,1.6143,Limestone (70.0%) | Marl (9.3%) | Shale (5.9%)
15/9-23_block_8,2876.25,Limestone,Limestone,1.938,Limestone (60.0%) | Marl (15.5%) | Shale (5.9%)
15/9-23_block_8,2876.4,Limestone,Limestone,2.1421,Limestone (45.5%) | Marl (28.8%) | Shale (6.9%)
15/9-23_block_8,2876.55,Limestone,Limestone,1.6635,Limestone (68.9%) | Marl (8.7%) | Shale (6.9%)
15/9-23_block_8,2876.7,Limestone,Limestone,1.688,Limestone (67.9%) | Marl (9.6%) | Shale (7.3%)
15/9-23_block_8,2876.86,Limestone,Limestone,1.684,Limestone (67.9%) | Marl (10.7%) | Shale (7.2%)
15/9-23_block_8,2877.01,Limestone,Limestone,1.6018,Limestone (69.7%) | Marl (10.6%) | Shale (7.0%)
15/9-23_block_8,2877.31,Marl,Limestone,1.5532,Limestone (72.3%) | Marl (6.8%) | Shale (6.6%)
15/9-23_block_8,2877.46,Marl,Limestone,1.6239,Limestone (70.1%) | Marl (8.9%) | Shale (6.5%)
15/9-23_block_8,2877.62,Marl,Limestone,2.1099,Limestone (47.9%) | Marl (27.3%) | Shale (6.6%)
15/9-23_block_8,2877.77,Marl,Limestone,2.1215,Limestone (43.4%) | Marl (32.4%) | Shale (6.6%)
15/9-23_block_8,2877.92,Marl,Limestone,2.097,Limestone (38.6%) | Marl (38.0%) | Shale (6.6%)
15/9-23_block_8,2878.07,Marl,Limestone,2.0236,Limestone (48.2%) | Marl (29.7%) | Shale (6.6%)
15/9-23_block_8,2878.22,Marl,Limestone,2.0572,Limestone (41.3%) | Marl (36.2%) | Shale (6.6%)
15/9-23_block_8,2878.68,Marl,Marl,2.1626,Marl (45.3%) | Limestone (28.5%) | Shale (6.6%)
15/9-23_block_8,2878.83,Marl,Limestone,1.9458,Limestone (58.8%) | Marl (17.4%) | Shale (6.6%)
15/9-23_block_8,2878.98,Marl,Limestone,1.7596,Limestone (65.9%) | Marl (12.3%) | Shale (6.6%)
15/9-23_block_8,2879.14,Marl,Limestone,1.9217,Limestone (56.6%) | Marl (21.9%) | Shale (6.6%)
15/9-23_block_8,2879.29,Marl,Limestone,2.0147,Limestone (44.5%) | Marl (34.4%) | Shale (6.6%)
15/9-23_block_8,2879.44,Marl,Marl,1.8939,Marl (57.7%) | Limestone (21.4%) | Shale (6.2%)
15/9-23_block_8,2879.59,Marl,Limestone,1.9779,Limestone (50.4%) | Marl (28.5%) | Shale (6.3%)
15/9-23_block_8,2879.74,Marl,Limestone,1.9776,Limestone (47.6%) | Marl (32.0%) | Shale (6.2%)
15/9-23_block_8,2879.9,Limestone,Limestone,1.972,Limestone (50.9%) | Marl (28.1%) | Shale (6.1%)
15/9-23_block_8,2880.05,Limestone,Limestone,1.9846,Limestone (51.3%) | Marl (27.3%) | Shale (6.2%)
15/9-23_block_8,2880.2,Limestone,Limestone,1.8476,Limestone (59.0%) | Marl (21.1%) | Shale (6.2%)
15/9-23_block_8,2880.35,Limestone,Limestone,1.5877,Limestone (69.8%) | Marl (11.5%) | Shale (6.2%)
15/9-23_block_8,2880.5,Limestone,Limestone,1.6135,Limestone (69.3%) | Marl (11.5%) | Shale (6.2%)
15/9-23_block_8,2881.26,Limestone,Limestone,1.5054,Limestone (73.3%) | Marl (7.3%) | Shale (6.2%)
15/9-23_block_8,2881.87,Limestone,Limestone,1.8668,Limestone (52.6%) | Marl (28.8%) | Shale (6.1%)
15/9-23_block_8,2882.02,Marl,Marl,1.8975,Marl (54.2%) | Limestone (26.2%) | Shale (5.8%)
15/9-23_block_8,2882.18,Marl,Marl,1.7885,Marl (61.2%) | Limestone (19.6%) | Shale (5.8%)
15/9-23_block_8,2882.33,Marl,Marl,1.8424,Marl (54.9%) | Limestone (26.4%) | Shale (6.7%)
15/9-23_block_8,2882.48,Marl,Limestone,1.9714,Limestone (42.2%) | Marl (37.7%) | Shale (6.6%)
15/9-23_block_8,2882.63,Limestone,Limestone,1.8076,Limestone (54.7%) | Marl (27.4%) | Shale (6.7%)
15/9-23_block_8,2882.78,Limestone,Limestone,1.8359,Limestone (53.0%) | Marl (28.8%) | Shale (6.8%)
15/9-23_block_8,2882.94,Limestone,Limestone,1.6508,Limestone (67.2%) | Marl (13.8%) | Shale (6.5%)
15/9-23_block_8,2883.09,Limestone,Limestone,1.7099,Limestone (66.6%) | Marl (12.7%) | Shale (6.4%)
15/9-23_block_8,2883.24,Limestone,Limestone,1.6503,Limestone (68.0%) | Marl (12.4%) | Shale (5.6%)
15/9-23_block_8,2883.39,Limestone,Limestone,1.5081,Limestone (72.1%) | Marl (9.9%) | Shale (5.6%)
15/9-23_block_8,2885.22,Marl,Limestone,1.9094,Limestone (51.2%) | Marl (29.3%) | Shale (6.8%)
15/9-23_block_8,2885.37,Marl,Marl,1.9702,Marl (49.9%) | Limestone (28.8%) | Shale (7.1%)
15/9-23_block_8,2885.52,Marl,Marl,1.7355,Marl (65.1%) | Limestone (14.1%) | Shale (6.9%)
15/9-23_block_8,2885.67,Marl,Marl,1.8198,Marl (58.4%) | Limestone (22.4%) | Shale (6.2%)
15/9-23_block_8,2885.82,Marl,Marl,1.8585,Marl (52.2%) | Limestone (29.4%) | Shale (6.3%)
15/9-23_block_8,2885.98,Limestone,Marl,1.9731,Marl (49.8%) | Limestone (29.5%) | Shale (6.3%)
15/9-23_block_8,2886.13,Limestone,Marl,2.0083,Marl (48.6%) | Limestone (29.9%) | Shale (6.5%)
15/9-23_block_8,2886.28,Limestone,Limestone,1.987,Limestone (46.8%) | Marl (32.7%) | Shale (6.5%)
15/9-23_block_8,2886.43,Limestone,Limestone,1.9332,Limestone (46.1%) | Marl (34.6%) | Shale (6.3%)
15/9-23_block_8,2886.58,Marl,Limestone,1.9682,Limestone (54.1%) | Marl (23.5%) | Shale (6.5%)
15/9-23_block_8,2886.74,Marl,Limestone,1.7947,Limestone (63.4%) | Marl (15.3%) | Shale (6.6%)
15/9-23_block_8,2886.89,Limestone,Limestone,1.6497,Limestone (68.5%) | Marl (11.5%) | Shale (6.6%)
15/9-23_block_8,2887.04,Limestone,Limestone,1.7475,Limestone (64.1%) | Marl (15.7%) | Shale (6.6%)
15/9-23_block_8,2887.19,Limestone,Limestone,1.627,Limestone (69.2%) | Marl (10.8%) | Shale (6.6%)
15/9-23_block_8,2887.34,Limestone,Limestone,1.5725,Limestone (71.3%) | Marl (8.3%) | Shale (6.6%)
15/9-23_block_8,2887.95,Limestone,Limestone,1.5123,Limestone (72.3%) | Marl (9.1%) | Shale (6.6%)
15/9-23_block_8,2888.1,Limestone,Marl,1.9528,Marl (45.9%) | Limestone (34.3%) | Shale (6.7%)
15/9-23_block_8,2888.26,Limestone,Limestone,1.5421,Limestone (71.7%) | Marl (9.1%) | Shale (6.7%)
15/9-23_block_8,2888.41,Limestone,Limestone,2.0798,Limestone (39.4%) | Marl (37.4%) | Shale (6.7%)
15/9-23_block_8,2888.56,Limestone,Limestone,1.7061,Limestone (67.4%) | Marl (10.9%) | Shale (6.7%)
15/9-23_block_8,2888.71,Limestone,Limestone,2.0916,Limestone (54.6%) | Marl (16.6%) | Chalk (7.7%)
15/9-23_block_8,2888.86,Limestone,Limestone,2.1846,Limestone (50.5%) | Marl (17.5%) | Shale (11.1%)
15/9-23_block_8,2889.02,Limestone,Limestone,2.2902,Limestone (43.3%) | Marl (19.2%) | Shale (17.5%)
15/9-23_block_8,2889.17,Marl,Marl,2.3667,Marl (27.8%) | Limestone (27.6%) | Shale (25.9%)
15/9-23_block_8,2889.32,Marl,Marl,2.3726,Marl (31.6%) | Shale (26.3%) | Limestone (22.6%)
15/9-23_block_8,2889.47,Marl,Marl,2.3531,Marl (35.4%) | Shale (22.6%) | Limestone (22.3%)
15/9-23_block_8,2889.62,Marl,Marl,2.1221,Marl (51.1%) | Shale (21.6%) | Sandstone/Shale (6.8%)
15/9-23_block_8,2889.78,Marl,Marl,1.8933,Marl (56.1%) | Shale (23.1%) | Sandstone/Shale (7.0%)
15/9-23_block_8,2889.93,Marl,Marl,2.3058,Marl (36.5%) | Shale (30.8%) | Sandstone/Shale (10.8%)
15/9-23_block_8,2890.08,Marl,Shale,2.2365,Shale (38.8%) | Marl (31.8%) | Sandstone/Shale (10.4%)
15/9-23_block_8,2890.23,Marl,Shale,2.4345,Shale (35.2%) | Marl (25.5%) | Sandstone/Shale (12.6%)
15/9-23_block_8,2890.38,Marl,Shale,2.4567,Shale (35.4%) | Marl (22.7%) | Sandstone/Shale (14.7%)
15/9-23_block_8,2890.54,Marl,Shale,2.3265,Shale (34.7%) | Marl (31.0%) | Sandstone/Shale (13.1%)
15/9-23_block_8,2890.69,Marl,Marl,2.2217,Marl (35.3%) | Shale (34.3%) | Chalk (9.4%)
15/9-23_block_8,2890.84,Marl,Marl,2.3013,Marl (39.3%) | Shale (27.9%) | Sandstone/Shale (10.0%)
15/9-23_block_8,2890.99,Marl,Marl,2.2483,Marl (40.3%) | Shale (27.6%) | Sandstone/Shale (14.3%)
15/9-23_block_8,2891.14,Marl,Marl,2.2296,Marl (33.9%) | Shale (32.9%) | Sandstone/Shale (17.1%)
15/9-23_block_8,2891.3,Marl,Shale,2.1716,Shale (36.4%) | Marl (30.2%) | Sandstone/Shale (19.6%)
15/9-23_block_8,2891.45,Marl,Shale,2.196,Shale (37.1%) | Marl (28.1%) | Sandstone/Shale (20.5%)
15/9-23_block_8,2891.6,Marl,Shale,2.1927,Shale (36.7%) | Marl (29.0%) | Sandstone/Shale (19.9%)
15/9-23_block_8,2891.75,Marl,Shale,2.33,Shale (35.4%) | Marl (22.6%) | Sandstone/Shale (18.8%)
15/9-23_block_8,2891.9,Marl,Shale,2.3044,Shale (36.9%) | Marl (23.6%) | Sandstone/Shale (16.3%)
15/9-23_block_8,2892.06,Marl,Shale,2.3085,Shale (35.0%) | Marl (24.5%) | Sandstone/Shale (18.0%)
15/9-23_block_8,2892.21,Marl,Shale,2.1124,Shale (38.2%) | Marl (32.9%) | Sandstone/Shale (15.9%)
15/9-23_block_8,2892.36,Marl,Shale,1.9962,Shale (46.8%) | Marl (28.1%) | Sandstone/Shale (13.2%)
15/9-23_block_8,2892.51,Marl,Shale,2.1148,Shale (41.9%) | Marl (25.3%) | Sandstone/Shale (19.7%)
15/9-23_block_8,2892.66,Marl,Shale,2.1787,Shale (37.0%) | Marl (28.8%) | Sandstone/Shale (20.5%)
15/9-23_block_8,2892.82,Marl,Marl,2.2672,Marl (30.1%) | Shale (28.7%) | Sandstone/Shale (25.8%)
15/9-23_block_8,2892.97,Marl,Shale,2.3061,Shale (33.9%) | Marl (24.7%) | Sandstone/Shale (22.6%)
15/9-23_block_8,2893.12,Marl,Shale,2.2533,Shale (41.4%) | Sandstone/Shale (21.4%) | Marl (16.6%)
15/9-23_block_8,2893.27,Marl,Shale,2.0005,Shale (43.8%) | Marl (32.5%) | Sandstone/Shale (10.6%)
15/9-23_block_8,2893.42,Marl,Shale,1.8772,Shale (51.0%) | Marl (27.2%) | Sandstone/Shale (12.0%)
15/9-23_block_8,2893.58,Marl,Shale,1.8165,Shale (58.8%) | Marl (18.7%) | Sandstone/Shale (10.6%)
15/9-23_block_8,2893.73,Marl,Shale,1.9176,Shale (52.8%) | Marl (21.8%) | Sandstone/Shale (13.9%)
15/9-23_block_8,2893.88,Marl,Shale,1.9883,Shale (51.1%) | Marl (21.6%) | Sandstone/Shale (14.7%)
15/9-23_block_8,2894.03,Marl,Shale,1.9995,Shale (49.3%) | Marl (24.0%) | Sandstone/Shale (14.2%)
15/9-23_block_8,2894.18,Marl,Shale,1.8898,Shale (56.3%) | Sandstone/Shale (18.2%) | Marl (13.4%)
15/9-23_block_8,2894.34,Marl,Shale,1.8672,Shale (56.6%) | Sandstone/Shale (18.3%) | Tuff (14.0%)
15/9-23_block_8,2894.49,Marl,Shale,1.9472,Shale (50.4%) | Sandstone/Shale (25.0%) | Tuff (13.9%)
15/9-23_block_8,2894.64,Marl,Shale,2.1763,Shale (39.7%) | Sandstone/Shale (29.7%) | Marl (15.3%)
15/9-23_block_8,2894.79,Marl,Shale,2.2223,Shale (36.3%) | Marl (27.0%) | Sandstone/Shale (21.8%)
15/9-23_block_8,2894.94,Marl,Shale,2.3332,Shale (36.3%) | Sandstone/Shale (24.0%) | Marl (15.1%)
15/9-23_block_8,2895.1,Marl,Marl,2.3369,Marl (30.2%) | Shale (27.1%) | Sandstone/Shale (19.8%)
15/9-23_block_8,2895.25,Marl,Marl,2.2101,Marl (32.7%) | Shale (32.0%) | Tuff (14.6%)
15/9-23_block_8,2895.4,Marl,Shale,2.2659,Shale (35.9%) | Sandstone/Shale (25.6%) | Marl (16.6%)
15/9-23_block_8,2895.55,Marl,Shale,2.2043,Shale (36.5%) | Sandstone/Shale (28.7%) | Marl (19.8%)
15/9-23_block_8,2895.7,Marl,Shale,2.0732,Shale (43.1%) | Marl (23.3%) | Sandstone/Shale (21.9%)
15/9-23_block_8,2895.86,Marl,Shale,2.2025,Shale (42.7%) | Sandstone/Shale (21.6%) | Tuff (14.3%)
15/9-23_block_8,2896.01,Marl,Shale,2.1091,Shale (45.5%) | Sandstone/Shale (24.9%) | Tuff (13.2%)
15/9-23_block_8,2896.16,Marl,Shale,2.1023,Shale (39.8%) | Sandstone/Shale (30.5%) | Tuff (13.2%)
15/9-23_block_8,2896.31,Marl,Shale,2.1444,Shale (35.8%) | Sandstone/Shale (27.2%) | Marl (24.7%)
15/9-23_block_8,2896.46,Marl,Shale,2.2013,Shale (32.4%) | Marl (28.2%) | Sandstone/Shale (25.8%)
15/9-23_block_8,2896.62,Marl,Shale,2.2866,Shale (34.4%) | Sandstone/Shale (26.5%) | Marl (22.4%)
15/9-23_block_8,2896.77,Marl,Shale,2.3877,Shale (32.1%) | Sandstone/Shale (26.4%) | Marl (16.6%)
15/9-23_block_8,2896.92,Marl,Shale,2.3194,Shale (31.5%) | Sandstone/Shale (24.6%) | Marl (23.7%)
15/9-23_block_8,2897.07,Marl,Marl,2.4493,Marl (25.7%) | Sandstone/Shale (23.2%) | Shale (23.1%)
15/9-23_block_8,2897.22,Marl,Marl,2.2689,Marl (42.9%) | Sandstone/Shale (20.7%) | Shale (15.7%)
15/9-23_block_8,2897.38,Marl,Marl,2.233,Marl (45.9%) | Shale (19.1%) | Sandstone/Shale (16.1%)
15/9-23_block_8,2897.53,Marl,Marl,2.1812,Marl (46.6%) | Shale (22.6%) | Sandstone/Shale (13.3%)
15/9-23_block_8,2897.68,Marl,Marl,1.7947,Marl (61.0%) | Shale (19.3%) | Sandstone/Shale (6.8%)
15/9-23_block_8,2897.83,Marl,Marl,1.5364,Marl (68.6%) | Shale (16.4%) | Sandstone/Shale (4.8%)
15/9-23_block_8,2897.98,Marl,Marl,1.5619,Marl (63.9%) | Shale (22.8%) | Tuff (4.8%)
15/9-23_block_8,2898.14,Marl,Marl,1.6139,Marl (58.8%) | Shale (27.8%) | Sandstone/Shale (5.3%)
15/9-23_block_8,2898.29,Marl,Shale,2.1885,Shale (35.7%) | Marl (31.5%) | Sandstone/Shale (13.4%)
15/9-23_block_8,2898.44,Marl,Marl,2.1841,Marl (39.2%) | Shale (28.7%) | Tuff (13.0%)
15/9-23_block_8,2898.59,Marl,Marl,1.6598,Marl (63.2%) | Shale (20.6%) | Sandstone/Shale (5.7%)
15/9-23_block_8,2898.74,Marl,Marl,1.7952,Marl (45.2%) | Shale (38.5%) | Sandstone/Shale (6.5%)
15/9-23_block_8,2898.9,Marl,Shale,1.8825,Shale (43.8%) | Marl (36.5%) | Sandstone/Shale (10.2%)
15/9-23_block_8,2899.05,Marl,Shale,1.9721,Shale (33.2%) | Sandstone/Shale (33.1%) | Marl (25.8%)
15/9-23_block_8,2899.2,Marl,Marl,2.0488,Marl (33.5%) | Shale (31.2%) | Sandstone/Shale (25.6%)
15/9-23_block_8,2899.35,Marl,Shale,2.074,Shale (40.9%) | Sandstone/Shale (24.3%) | Marl (23.0%)
15/9-23_block_8,2899.5,Marl,Shale,1.8595,Shale (58.6%) | Sandstone/Shale (15.0%) | Marl (10.8%)
15/9-23_block_8,2899.81,Marl,Shale,1.8344,Shale (52.8%) | Marl (23.9%) | Sandstone/Shale (14.6%)
15/9-23_block_8,2899.96,Marl,Shale,1.8662,Shale (47.7%) | Marl (31.2%) | Sandstone/Shale (12.2%)
15/9-23_block_8,2900.11,Marl,Marl,1.8529,Marl (43.4%) | Shale (37.4%) | Sandstone/Shale (10.5%)
15/9-23_block_8,2900.26,Marl,Shale,1.9093,Shale (41.0%) | Marl (39.1%) | Sandstone/Shale (9.1%)
15/9-23_block_8,2900.42,Marl,Shale,1.9927,Shale (47.4%) | Marl (27.9%) | Sandstone/Shale (11.2%)
15/9-23_block_8,2900.57,Marl,Shale,1.8178,Shale (54.9%) | Marl (24.4%) | Sandstone/Shale (11.2%)
15/9-23_block_8,2900.72,Marl,Marl,1.8912,Marl (42.9%) | Shale (36.2%) | Sandstone/Shale (11.8%)
15/9-23_block_8,2900.87,Marl,Marl,2.0738,Marl (40.5%) | Shale (33.4%) | Sandstone/Shale (13.4%)
15/9-23_block_8,2901.02,Marl,Marl,1.9745,Marl (42.4%) | Shale (35.4%) | Sandstone/Shale (11.0%)
15/9-23_block_8,2901.18,Marl,Shale,1.888,Shale (41.5%) | Marl (40.0%) | Sandstone/Shale (8.0%)
15/9-23_block_8,2901.33,Marl,Shale,1.8496,Shale (45.6%) | Marl (36.9%) | Sandstone/Shale (7.6%)
15/9-23_block_8,2901.48,Marl,Shale,1.6955,Shale (52.8%) | Marl (32.2%) | Sandstone/Shale (7.5%)
15/9-23_block_8,2901.78,Marl,Shale,1.5157,Shale (66.6%) | Marl (18.2%) | Sandstone/Shale (7.9%)
15/9-23_block_8,2902.24,Marl,Shale,1.8803,Shale (51.7%) | Sandstone/Shale (23.4%) | Marl (15.7%)
15/9-23_block_8,2902.39,Marl,Marl,1.7954,Marl (41.9%) | Shale (40.9%) | Sandstone/Shale (9.1%)
15/9-23_block_8,2902.54,Marl,Shale,1.8864,Shale (46.4%) | Marl (33.9%) | Sandstone/Shale (9.5%)
15/9-23_block_8,2902.7,Marl,Shale,1.8297,Shale (52.7%) | Marl (26.9%) | Sandstone/Shale (11.5%)
15/9-23_block_8,2902.85,Marl,Shale,1.7196,Shale (56.5%) | Marl (25.8%) | Sandstone/Shale (10.0%)
15/9-23_block_8,2903.0,Marl,Shale,1.5206,Shale (66.4%) | Marl (16.4%) | Sandstone/Shale (10.4%)
15/9-23_block_8,2903.15,Marl,Shale,1.5899,Shale (64.2%) | Marl (16.4%) | Sandstone/Shale (12.4%)
15/9-23_block_8,2903.3,Marl,Shale,1.7415,Shale (57.9%) | Marl (17.8%) | Sandstone/Shale (16.4%)
15/9-23_block_8,2903.46,Marl,Shale,1.8719,Shale (51.4%) | Marl (24.9%) | Sandstone/Shale (14.6%)
15/9-23_block_8,2903.61,Marl,Shale,1.8659,Shale (50.1%) | Marl (28.2%) | Sandstone/Shale (12.7%)
15/9-23_block_8,2903.76,Marl,Shale,1.7737,Shale (42.4%) | Marl (42.0%) | Sandstone/Shale (6.7%)
15/9-23_block_8,2904.06,Marl,Marl,1.637,Marl (61.7%) | Shale (23.2%) | Sandstone/Shale (6.2%)
15/9-23_block_8,2904.22,Marl,Marl,1.8117,Marl (48.3%) | Shale (35.0%) | Sandstone/Shale (6.2%)
15/9-23_block_8,2904.37,Marl,Marl,1.7337,Marl (49.2%) | Shale (35.1%) | Sandstone/Shale (8.1%)
15/9-23_block_8,2904.52,Marl,Shale,1.7618,Shale (44.2%) | Marl (39.7%) | Sandstone/Shale (8.3%)
15/9-23_block_8,2904.67,Marl,Marl,1.7911,Marl (42.4%) | Shale (41.3%) | Sandstone/Shale (7.6%)
15/9-23_block_8,2904.82,Marl,Marl,1.704,Marl (46.9%) | Shale (39.2%) | Sandstone/Shale (6.1%)
15/9-23_block_8,2904.98,Marl,Marl,1.7689,Marl (45.0%) | Shale (39.3%) | Sandstone/Shale (7.0%)
15/9-23_block_8,2905.13,Marl,Marl,1.6976,Marl (47.5%) | Shale (38.7%) | Sandstone/Shale (5.9%)
15/9-23_block_8,2905.28,Marl,Shale,1.7303,Shale (44.9%) | Marl (40.5%) | Sandstone/Shale (6.1%)
